类型,货币,金额,汇率（相对本位币）,项目,分类,父类,账户,付款,收款,日期,标签,备注,clean_amount,amount_abs,flow_direction,clean_date,date_valid,clean_project,is_transfer,transfer_subtype,is_refund,is_loan,cny_amount,valid_for_stats,corrected_type,category_l1,category_l2,is_fixed_expense,is_travel,year,month,quarter,day_of_week,is_weekend,is_holiday,holiday_name,is_around_holiday,is_capital_expense,is_outlier,life_stage,month_complete,is_purchase_support
支出,CNY,¥-6,1,,公交/地铁/共享单车,交通,公交卡,,,2025/4/30 16:43,,,-6.0,6.0,支出,2025-04-30 16:43:00,True,,False,,False,False,6.0,True,支出,交通,公共交通,False,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-11.50,1,,食物🍔&礼物🎁,旅游,招商银行,,,2025/4/30 16:32,广州,,-11.5,11.5,支出,2025-04-30 16:32:00,True,,False,,False,False,11.5,True,支出,餐饮,其他餐饮,False,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,"¥-5,274",1,,护肤/理发,,美容卡,,,2025/4/30 16:25,,,-5274.0,5274.0,支出,2025-04-30 16:25:00,True,,False,,False,False,5274.0,True,支出,个护,综合,False,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-50,1,,手机话费,电子消费,招商银行,,,2025/4/30 16:11,,,-50.0,50.0,支出,2025-04-30 16:11:00,True,,False,,False,False,50.0,True,支出,数字消费,话费,True,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-50,1,,手机话费,电子消费,招商银行,,,2025/4/30 16:11,,,-50.0,50.0,支出,2025-04-30 16:11:00,True,,False,,False,False,50.0,True,支出,数字消费,话费,True,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-2.50,1,,早午晚餐,日常消费,微信余额,,,2025/4/30 16:00,,,-2.5,2.5,支出,2025-04-30 16:00:00,True,,False,,False,False,2.5,True,支出,餐饮,正餐,False,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-22.50,1,,打车,交通,招行工资卡,,,2025/4/30 15:31,,,-22.5,22.5,支出,2025-04-30 15:31:00,True,,False,,False,False,22.5,True,支出,交通,打车,False,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,"¥-4,849.77",1,,其他支出,其他杂项,招行工资卡,,,2025/4/30 15:31,,补税,-4849.77,4849.77,支出,2025-04-30 15:31:00,True,,False,,False,False,4849.77,True,支出,其他,其他,False,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
收入,CNY,"¥15,046.88",1,,工资收入,职业收入,招行工资卡,,,2025/4/30 15:29,,,15046.88,15046.88,收入,2025-04-30 15:29:00,True,,False,,False,False,15046.88,True,收入,工资,基本工资,False,False,2025,4,2,2,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-2,1,,早午晚餐,日常消费,微信余额,,,2025/4/29 16:00,,,-2.0,2.0,支出,2025-04-29 16:00:00,True,,False,,False,False,2.0,True,支出,餐饮,正餐,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-29.40,1,,早午晚餐,日常消费,招商银行,,,2025/4/29 15:48,,,-29.4,29.4,支出,2025-04-29 15:48:00,True,,False,,False,False,29.4,True,支出,餐饮,正餐,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
转账,CNY,"¥1,200",1,,账户互转,,,招商银行,美容卡,2025/4/29 15:48,,,1200.0,1200.0,转账,2025-04-29 15:48:00,True,,True,账户互转,False,False,1200.0,False,转账,转账,账户互转,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
转账,CNY,"¥1,318",1,,账户互转,,,理发卡,美容卡,2025/4/29 15:48,,,1318.0,1318.0,转账,2025-04-29 15:48:00,True,,True,账户互转,False,False,1318.0,False,转账,转账,账户互转,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
收入,CNY,¥3.96,1,,利息收入,其他收入,招行工资卡,,,2025/4/29 15:45,,,3.96,3.96,收入,2025-04-29 15:45:00,True,,False,,False,False,3.96,True,收入,理财,利息,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
转账,CNY,¥2,1,,账户互转,,,招行工资卡,微信余额,2025/4/29 15:31,,,2.0,2.0,转账,2025-04-29 15:31:00,True,,True,账户互转,False,False,2.0,False,转账,转账,账户互转,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-16.80,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/29 15:31,,共享单车,-16.8,16.8,支出,2025-04-29 15:31:00,True,,False,,False,False,16.8,True,支出,交通,公共交通,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/29 15:31,,,-8.0,8.0,支出,2025-04-29 15:31:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/29 15:31,,,-8.0,8.0,支出,2025-04-29 15:31:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
支出,CNY,"¥-2,786",1,,房租,房子,招行工资卡,,,2025/4/29 15:31,,5月房租,-2786.0,2786.0,支出,2025-04-29 15:31:00,True,,False,,False,False,2786.0,True,支出,居住,房租,True,False,2025,4,2,1,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/28 16:00,,,-8.0,8.0,支出,2025-04-28 16:00:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,0,False,False,,True,False,False,pre_car,True,False
收入,CNY,¥3.93,1,,利息收入,其他收入,招行工资卡,,,2025/4/28 15:45,,,3.93,3.93,收入,2025-04-28 15:45:00,True,,False,,False,False,3.93,True,收入,理财,利息,False,False,2025,4,2,0,False,False,,True,False,False,pre_car,True,False
转账,CNY,¥9,1,,账户互转,,,招行工资卡,微信余额,2025/4/28 11:35,,,9.0,9.0,转账,2025-04-28 11:35:00,True,,True,账户互转,False,False,9.0,False,转账,转账,账户互转,False,False,2025,4,2,0,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-2,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/28 11:35,,,-2.0,2.0,支出,2025-04-28 11:35:00,True,,False,,False,False,2.0,True,支出,餐饮,正餐,False,False,2025,4,2,0,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-6,1,,会员,电子消费,招行工资卡,,,2025/4/28 11:35,,小米会员,-6.0,6.0,支出,2025-04-28 11:35:00,True,,False,,False,False,6.0,True,支出,数字消费,会员订阅,True,False,2025,4,2,0,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-36.50,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/28 11:35,,,-36.5,36.5,支出,2025-04-28 11:35:00,True,,False,,False,False,36.5,True,支出,餐饮,正餐,False,False,2025,4,2,0,False,False,,True,False,False,pre_car,True,False
支出,CNY,¥-25.88,1,,早午晚餐,日常消费,招商银行,,,2025/4/27 15:48,,,-25.88,25.88,支出,2025-04-27 15:48:00,True,,False,,False,False,25.88,True,支出,餐饮,正餐,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-34.90,1,,电子产品,电子消费,招商银行,,,2025/4/27 15:48,,鼠标,-34.9,34.9,支出,2025-04-27 15:48:00,True,,False,,False,False,34.9,True,支出,购物,电子产品,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/27 15:45,,,3.9,3.9,收入,2025-04-27 15:45:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/27 11:35,,,-8.0,8.0,支出,2025-04-27 11:35:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/27 11:35,,,-8.0,8.0,支出,2025-04-27 11:35:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-2,1,,早午晚餐,日常消费,微信余额,,,2025/4/27 8:09,,,-2.0,2.0,支出,2025-04-27 08:09:00,True,,False,,False,False,2.0,True,支出,餐饮,正餐,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-19.39,1,,早午晚餐,日常消费,招商银行,,,2025/4/26 15:48,,,-19.39,19.39,支出,2025-04-26 15:48:00,True,,False,,False,False,19.39,True,支出,餐饮,正餐,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-21.91,1,,早午晚餐,日常消费,招商银行,,,2025/4/26 15:48,,,-21.91,21.91,支出,2025-04-26 15:48:00,True,,False,,False,False,21.91,True,支出,餐饮,正餐,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/26 15:45,,,3.9,3.9,收入,2025-04-26 15:45:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-15,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/26 11:35,,,-15.0,15.0,支出,2025-04-26 11:35:00,True,,False,,False,False,15.0,True,支出,餐饮,正餐,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/25 11:35,,,3.9,3.9,收入,2025-04-25 11:35:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-59,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/25 11:35,,霸花店.朝鲜料理,-59.0,59.0,支出,2025-04-25 11:35:00,True,,False,,False,False,59.0,True,支出,餐饮,正餐,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-655,1,,玩乐,日常消费,招行工资卡,,,2025/4/25 11:35,,五月天演唱会,-655.0,655.0,支出,2025-04-25 11:35:00,True,,False,,False,False,655.0,True,支出,娱乐,休闲玩乐,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-16,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/25 8:09,,,-16.0,16.0,支出,2025-04-25 08:09:00,True,,False,,False,False,16.0,True,支出,交通,公共交通,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/25 8:09,,,-8.0,8.0,支出,2025-04-25 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-2,1,,早午晚餐,日常消费,微信余额,,,2025/4/25 8:09,,,-2.0,2.0,支出,2025-04-25 08:09:00,True,,False,,False,False,2.0,True,支出,餐饮,正餐,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-150,1,,护肤/理发,,美容卡,,,2025/4/24 15:48,,,-150.0,150.0,支出,2025-04-24 15:48:00,True,,False,,False,False,150.0,True,支出,个护,综合,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/24 11:35,,,3.9,3.9,收入,2025-04-24 11:35:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-3,1,,早午晚餐,日常消费,微信余额,,,2025/4/24 8:09,,,-3.0,3.0,支出,2025-04-24 08:09:00,True,,False,,False,False,3.0,True,支出,餐饮,正餐,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/24 8:09,,,-8.0,8.0,支出,2025-04-24 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-16,1,,早午晚餐,日常消费,微信余额,,,2025/4/24 8:09,,,-16.0,16.0,支出,2025-04-24 08:09:00,True,,False,,False,False,16.0,True,支出,餐饮,正餐,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/24 8:09,,,-8.0,8.0,支出,2025-04-24 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/23 11:35,,,3.9,3.9,收入,2025-04-23 11:35:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-18,1,,手机话费,电子消费,招行工资卡,,,2025/4/23 11:35,,流量包，,-18.0,18.0,支出,2025-04-23 11:35:00,True,,False,,False,False,18.0,True,支出,数字消费,话费,True,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/23 8:09,,,-8.0,8.0,支出,2025-04-23 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/23 8:09,,,-8.0,8.0,支出,2025-04-23 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-3,1,,早午晚餐,日常消费,微信余额,,,2025/4/23 8:09,,,-3.0,3.0,支出,2025-04-23 08:09:00,True,,False,,False,False,3.0,True,支出,餐饮,正餐,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.98,1,,利息收入,其他收入,招行工资卡,,,2025/4/22 11:35,,,3.98,3.98,收入,2025-04-22 11:35:00,True,,False,,False,False,3.98,True,收入,理财,利息,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
转账,CNY,"¥2,598.33",1,,信用卡还款,,,招行工资卡,招商银行,2025/4/22 11:35,,招商银行还款,2598.33,2598.33,转账,2025-04-22 11:35:00,True,,True,信用卡还款,False,True,2598.33,False,转账,转账,信用卡还款,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-1,1,,早午晚餐,日常消费,微信余额,,,2025/4/22 8:09,,,-1.0,1.0,支出,2025-04-22 08:09:00,True,,False,,False,False,1.0,True,支出,餐饮,正餐,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/22 8:09,,,-8.0,8.0,支出,2025-04-22 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/22 8:09,,,-8.0,8.0,支出,2025-04-22 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
收入,CNY,"¥2,100",1,,工资收入,职业收入,上海公积金,,,2025/4/21 23:44,,,2100.0,2100.0,收入,2025-04-21 23:44:00,True,,False,,False,False,2100.0,True,收入,工资,基本工资,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.91,1,,利息收入,其他收入,招行工资卡,,,2025/4/21 18:24,,,3.91,3.91,收入,2025-04-21 18:24:00,True,,False,,False,False,3.91,True,收入,理财,利息,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-26.33,1,,早午晚餐,日常消费,招商银行,,,2025/4/21 18:24,,,-26.33,26.33,支出,2025-04-21 18:24:00,True,,False,,False,False,26.33,True,支出,餐饮,正餐,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-896,1,,出行,旅游,招行工资卡,,,2025/4/21 10:02,广州,,-896.0,896.0,支出,2025-04-21 10:02:00,True,,False,,False,False,896.0,True,支出,交通,其他交通,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,早午晚餐,日常消费,微信余额,,,2025/4/21 8:09,,,-8.0,8.0,支出,2025-04-21 08:09:00,True,,False,,False,False,8.0,True,支出,餐饮,正餐,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,微信余额,,,2025/4/21 8:09,,,-8.0,8.0,支出,2025-04-21 08:09:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
转账,CNY,¥13,1,,账户互转,,,招行工资卡,微信余额,2025/4/21 8:09,,,13.0,13.0,转账,2025-04-21 08:09:00,True,,True,账户互转,False,False,13.0,False,转账,转账,账户互转,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/20 19:21,,,3.9,3.9,收入,2025-04-20 19:21:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-29.40,1,,早午晚餐,日常消费,招商银行,,,2025/4/20 19:21,,,-29.4,29.4,支出,2025-04-20 19:21:00,True,,False,,False,False,29.4,True,支出,餐饮,正餐,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-22.88,1,,早午晚餐,日常消费,招商银行,,,2025/4/20 12:13,,,-22.88,22.88,支出,2025-04-20 12:13:00,True,,False,,False,False,22.88,True,支出,餐饮,正餐,False,False,2025,4,2,6,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-200,1,,随礼/红包,社交,招行工资卡,,,2025/4/19 17:50,,老妈生日,-200.0,200.0,支出,2025-04-19 17:50:00,True,,False,,False,False,200.0,True,支出,社交,随礼红包,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-33.56,1,,吃喝,日常消费,招商银行,,,2025/4/19 17:50,,可乐 香蕉 菠萝,-33.56,33.56,支出,2025-04-19 17:50:00,True,,False,,False,False,33.56,True,支出,餐饮,小吃饮品,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-37.24,1,,早午晚餐,日常消费,招商银行,,,2025/4/19 17:50,,鸡翅+鸭翅,-37.24,37.24,支出,2025-04-19 17:50:00,True,,False,,False,False,37.24,True,支出,餐饮,正餐,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-4.84,1,,早午晚餐,日常消费,招商银行,,,2025/4/19 17:50,,,-4.84,4.84,支出,2025-04-19 17:50:00,True,,False,,False,False,4.84,True,支出,餐饮,正餐,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/19 9:57,,,3.9,3.9,收入,2025-04-19 09:57:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥24,1,,出行,旅游,招行工资卡,,,2025/4/19 9:55,广州,上海-广州,24.0,24.0,支出,2025-04-19 09:55:00,True,,False,,True,False,24.0,True,收入,其他收入,未映射,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥611,1,,出行,旅游,招行工资卡,,,2025/4/19 9:53,广州,,611.0,611.0,支出,2025-04-19 09:53:00,True,,False,,True,False,611.0,True,收入,其他收入,未映射,False,False,2025,4,2,5,True,False,,False,False,False,pre_car,True,False
支出,CNY,¥-611,1,,出行,旅游,招行工资卡,,,2025/4/18 17:50,广州,,-611.0,611.0,支出,2025-04-18 17:50:00,True,,False,,False,False,611.0,True,支出,交通,其他交通,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-6,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/18 17:50,,,-6.0,6.0,支出,2025-04-18 17:50:00,True,,False,,False,False,6.0,True,支出,餐饮,正餐,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/18 17:50,,,-8.0,8.0,支出,2025-04-18 17:50:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/18 17:50,,,-8.0,8.0,支出,2025-04-18 17:50:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-39,1,,早午晚餐,日常消费,招商银行,,,2025/4/18 17:50,,,-39.0,39.0,支出,2025-04-18 17:50:00,True,,False,,False,False,39.0,True,支出,餐饮,正餐,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/18 9:57,,,3.9,3.9,收入,2025-04-18 09:57:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,4,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-6,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/17 17:50,,,-6.0,6.0,支出,2025-04-17 17:50:00,True,,False,,False,False,6.0,True,支出,餐饮,正餐,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/17 17:50,,,-8.0,8.0,支出,2025-04-17 17:50:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/17 17:50,,,-8.0,8.0,支出,2025-04-17 17:50:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-18,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/17 17:50,,,-18.0,18.0,支出,2025-04-17 17:50:00,True,,False,,False,False,18.0,True,支出,餐饮,正餐,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-200,1,,随礼/红包,社交,招行工资卡,,,2025/4/17 17:50,,老爸生日,-200.0,200.0,支出,2025-04-17 17:50:00,True,,False,,False,False,200.0,True,支出,社交,随礼红包,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.90,1,,利息收入,其他收入,招行工资卡,,,2025/4/17 17:50,,,3.9,3.9,收入,2025-04-17 17:50:00,True,,False,,False,False,3.9,True,收入,理财,利息,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,"¥-1,000",1,,随礼/红包,社交,招行工资卡,,,2025/4/17 17:50,,洪斌,-1000.0,1000.0,支出,2025-04-17 17:50:00,True,,False,,False,False,1000.0,True,支出,社交,随礼红包,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-150,1,,护肤/理发,,美容卡,,,2025/4/17 15:48,,,-150.0,150.0,支出,2025-04-17 15:48:00,True,,False,,False,False,150.0,True,支出,个护,综合,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-6,1,,早午晚餐,日常消费,微信余额,,,2025/4/17 10:21,,,-6.0,6.0,支出,2025-04-17 10:21:00,True,,False,,False,False,6.0,True,支出,餐饮,正餐,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥2,1,,红包,其他收入,微信余额,,,2025/4/17 10:21,,,2.0,2.0,收入,2025-04-17 10:21:00,True,,False,,False,False,2.0,True,收入,红包,日常红包,False,False,2025,4,2,3,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.85,1,,利息收入,其他收入,招行工资卡,,,2025/4/16 17:50,,,3.85,3.85,收入,2025-04-16 17:50:00,True,,False,,False,False,3.85,True,收入,理财,利息,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-377,1,,出行,旅游,招行工资卡,,,2025/4/16 17:50,广州,上海-广州,-377.0,377.0,支出,2025-04-16 17:50:00,True,,False,,False,False,377.0,True,支出,交通,其他交通,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-40,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/16 17:50,,,-40.0,40.0,支出,2025-04-16 17:50:00,True,,False,,False,False,40.0,True,支出,餐饮,正餐,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-4,1,,早午晚餐,日常消费,招行工资卡,,,2025/4/16 17:50,,,-4.0,4.0,支出,2025-04-16 17:50:00,True,,False,,False,False,4.0,True,支出,餐饮,正餐,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/16 17:50,,,-8.0,8.0,支出,2025-04-16 17:50:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,2,False,False,,False,False,False,pre_car,True,False
收入,CNY,"¥15,767.79",1,,工资收入,职业收入,招行工资卡,,,2025/4/15 19:45,,,15767.79,15767.79,收入,2025-04-15 19:45:00,True,,False,,False,False,15767.79,True,收入,工资,基本工资,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-65.90,1,,早午晚餐,日常消费,招商银行,,,2025/4/15 18:17,,麦当劳三人餐,-65.9,65.9,支出,2025-04-15 18:17:00,True,,False,,False,False,65.9,True,支出,餐饮,正餐,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥3.84,1,,利息收入,其他收入,招行工资卡,,,2025/4/15 18:14,,,3.84,3.84,收入,2025-04-15 18:14:00,True,,False,,False,False,3.84,True,收入,理财,利息,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-8,1,,公交/地铁/共享单车,交通,招行工资卡,,,2025/4/15 18:14,,,-8.0,8.0,支出,2025-04-15 18:14:00,True,,False,,False,False,8.0,True,支出,交通,公共交通,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
收入,CNY,¥36,1,,红包,其他收入,微信余额,,,2025/4/15 10:21,,,36.0,36.0,收入,2025-04-15 10:21:00,True,,False,,False,False,36.0,True,收入,红包,日常红包,False,False,2025,4,2,1,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-19,1,,药品费,医疗,上海医保,,,2025/4/14 23:47,,挂号,-19.0,19.0,支出,2025-04-14 23:47:00,True,,False,,False,False,19.0,True,支出,医疗,药品,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
支出,CNY,¥-442.46,1,,药品费,医疗,上海医保,,,2025/4/14 23:47,,中药,-442.46,442.46,支出,2025-04-14 23:47:00,True,,False,,False,False,442.46,True,支出,医疗,药品,False,False,2025,4,2,0,False,False,,False,False,False,pre_car,True,False
